"weekEnding,ne,enc,c,se,wnc,s,sw,nw,w,nat,neAnom,encAnom,cAnom,seAnom,wncAnom,sAnom,swAnom,nwAnom,wAnom,natAnom"
"20130228,25.65,19.23,33.75,48.09,25.60,46.82,34.33,34.27,41.60,35.47,1.25,-0.17,0.05,-0.11,2.30,0.42,-2.47,0.67,-1.50,0.07"
"20130302,34.95,30.63,42.14,54.43,32.56,52.44,41.42,39.49,47.09,42.46,1.35,-0.07,-1.16,-0.67,0.06,-1.86,-1.78,-0.11,-0.31,-0.74"
"20130309,35.88,27.90,38.91,49.20,32.20,53.75,44.07,38.71,47.12,41.95,2.28,-2.80,-4.39,-5.90,-0.30,-0.55,0.87,-0.89,-0.28,-1.25"
"20130316,36.06,27.71,40.67,51.07,33.03,54.02,45.75,41.54,50.10,43.22,2.46,-2.99,-2.63,-4.03,0.53,-0.28,2.55,1.94,2.70,0.02"
"20130323,32.99,24.52,38.58,51.13,30.05,53.83,45.34,39.55,49.83,41.81,-0.61,-6.18,-4.72,-3.97,-2.45,-0.47,2.14,-0.05,2.43,-1.39"
"20130330,32.97,25.12,37.68,49.92,29.61,52.43,44.80,39.99,50.14,41.31,-0.63,-5.58,-5.62,-5.18,-2.89,-1.87,1.60,0.39,2.74,-1.89"
"20130331,32.87,25.11,37.71,50.01,29.77,52.40,44.89,40.19,50.19,41.37,-0.73,-5.59,-5.59,-5.09,-2.73,-1.90,1.69,0.59,2.79,-1.83"
"20130406,41.48,38.86,49.12,59.79,45.14,59.68,54.02,51.22,56.36,51.73,-3.22,-5.14,-4.08,-2.01,1.84,-2.32,3.82,5.52,3.66,-0.07"
"20130413,45.55,38.67,54.28,64.17,39.36,61.20,50.89,47.11,55.38,51.43,0.85,-5.33,1.08,2.37,-3.94,-0.80,0.69,1.41,2.68,-0.37"
"20130420,46.87,37.51,54.61,64.80,36.17,61.10,48.97,44.42,53.27,50.31,2.17,-6.49,1.41,3.00,-7.13,-0.90,-1.23,-1.28,0.57,-1.49"
"20130427,45.32,37.61,52.78,62.57,36.26,59.79,49.04,44.49,53.88,49.66,0.62,-6.39,-0.42,0.77,-7.04,-2.21,-1.16,-1.21,1.18,-2.14"
"20130430,45.69,38.18,53.01,62.37,36.55,59.68,49.38,44.57,54.39,49.86,0.99,-5.82,-0.19,0.57,-6.75,-2.32,-0.82,-1.13,1.69,-1.94"
"20130504,58.34,55.99,63.87,68.67,51.65,68.31,60.50,52.58,63.70,60.82,2.44,-0.41,1.07,-0.73,-2.35,-1.89,1.30,-0.22,3.60,-0.08"
"20130511,60.33,56.28,63.26,67.19,53.85,67.22,59.58,58.85,62.59,61.18,4.43,-0.12,0.46,-2.21,-0.15,-2.98,0.38,6.05,2.49,0.28"
